,Decision
0,C
1,A
2,D
3,D
4,A
5,C
6,B
7,C
8,A
9,B
10,D
11,D
12,A
13,C
14,D
15,A
16,C
17,A
18,C
19,C
20,C
21,C
22,D
23,A
24,B
25,B
26,B
27,A
28,B
29,A
30,C
31,A
32,D
33,D
34,B
35,D
36,B
37,A
38,B
39,C
40,C
41,C
42,D
43,A
44,B
45,A
46,B
47,D
48,D
49,A
50,C
51,A
52,A
53,B
54,C
55,B
56,A
57,C
58,A
59,B
60,A
61,D
62,D
63,C
64,C
65,A
66,B
67,D
68,A
69,A
70,B
71,A
72,C
73,B
74,B
75,C
76,A
77,D
78,B
79,D
80,A
81,D
82,D
83,D
84,B
85,C
86,B
87,A
88,B
89,B
90,D
91,D
92,C
93,C
94,B
95,D
96,D
97,B
98,D
99,C
100,C
101,C
102,B
103,D
104,D
105,B
106,C
107,B
108,A
109,C
110,A
111,B
112,A
113,C
114,A
115,D
116,B
117,A
118,D
119,C
120,B
121,D
122,D
123,C
124,B
125,C
