,Decision
0,B
1,D
2,A
3,A
4,C
5,C
6,B
7,B
8,B
9,A
10,D
11,A
12,D
13,D
14,B
15,D
16,B
17,D
18,D
19,D
20,B
21,B
22,B
23,D
24,B
25,C
26,A
27,C
28,B
29,A
30,C
31,D
32,B
33,B
34,A
35,C
36,C
37,C
38,C
39,D
40,D
41,D
42,B
43,A
44,D
45,C
46,A
47,A
48,B
49,A
50,A
51,D
52,A
53,A
54,C
55,A
56,C
57,B
58,D
59,B
60,C
61,C
62,A
63,B
64,C
65,B
66,C
67,B
68,C
69,A
70,D
71,C
72,C
73,D
74,C
75,B
76,C
77,D
78,A
79,C
80,D
81,C
82,A
83,C
84,B
85,A
86,A
87,D
88,D
89,B
90,A
91,B
92,B
93,C
94,D
95,D
96,C
97,B
98,B
99,C
100,B
101,D
102,D
103,C
104,A
105,A
106,A
107,C
108,A
109,B
110,A
111,D
112,D
113,D
114,D
115,B
116,B
117,A
118,A
119,C
120,A
121,C
122,D
123,C
124,B
125,A
