,Decision
0,A
1,D
2,D
3,A
4,A
5,D
6,D
7,C
8,A
9,A
10,C
11,B
12,B
13,D
14,C
15,B
16,C
17,A
18,A
19,B
20,C
21,C
22,D
23,C
24,C
25,D
26,D
27,B
28,A
29,D
30,B
31,D
32,B
33,D
34,B
35,B
36,B
37,A
38,C
39,B
40,B
41,A
42,C
43,A
44,D
45,B
46,B
47,B
48,D
49,B
50,A
51,D
52,D
53,B
54,A
55,C
56,A
57,B
58,C
59,C
60,D
61,C
62,C
63,A
64,B
65,D
66,C
67,A
68,C
69,C
70,B
71,B
72,C
73,B
74,D
75,A
76,A
77,A
78,D
79,B
80,B
81,B
82,C
83,D
84,D
85,C
86,D
87,A
88,A
89,B
90,D
91,A
92,A
93,B
94,A
95,C
96,A
97,C
98,D
99,D
100,A
101,A
102,A
103,B
104,C
105,D
106,D
107,B
108,A
109,C
110,C
111,C
112,A
113,B
114,A
115,C
116,B
117,B
118,D
119,D
120,D
121,D
122,A
123,C
124,C
125,C
