,Decision
0,B
1,A
2,A
3,C
4,A
5,A
6,C
7,C
8,B
9,C
10,C
11,A
12,B
13,D
14,B
15,D
16,C
17,C
18,C
19,C
20,C
21,C
22,D
23,D
24,B
25,A
26,C
27,D
28,D
29,A
30,A
31,A
32,C
33,D
34,A
35,C
36,A
37,D
38,B
39,A
40,D
41,D
42,A
43,C
44,C
45,B
46,D
47,B
48,B
49,C
50,A
51,C
52,B
53,C
54,A
55,D
56,B
57,D
58,C
59,A
60,C
61,B
62,B
63,D
64,A
65,D
66,D
67,A
68,C
69,B
70,A
71,D
72,A
73,D
74,C
75,A
76,A
77,B
78,B
79,A
80,B
81,B
82,B
83,B
84,B
85,C
86,B
87,A
88,D
89,B
90,D
91,D
92,B
93,C
94,A
95,D
96,A
97,D
98,C
99,A
100,D
101,B
102,D
103,B
104,A
105,D
106,B
107,C
108,A
109,B
110,C
111,C
112,D
113,C
114,A
115,B
116,D
117,C
118,C
119,B
120,D
121,D
122,D
123,B
124,B
125,A
